"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2021033197","","1","0","0","0","0","0","0","0","0","4","0","","67","4","2021","7","39.986917","-75.090764","","6","0","0","0","0","0","1","0","0","","0","0","0","21","","0","N","0","","39 59:12.901","1","0","75 05:26.751","0","0","0","0","67301","0","0","0","N","0","0","0","2","68K01","0","","1.0","2305.0","1","N","N","N","0","","0","0","1","","0","N","2125","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2021004311","","2","0","0","0","0","0","0","0","0","5","0","","67","1","2021","1","40.04065","-75.005579","","6","0","0","0","0","0","0","0","0","","0","0","0","19","","1","N","0","","40 02:26.341","2","3","75 00:20.085","8","0","0","0","67301","0","0","0","N","0","0","0","4","68K01","0","","1.0","2109.0","9","N","N","N","0","","0","0","1","","0","Y","1917","3","1","0","0","0","1","0","2","0","3","","03","","N","","","","","","","","","",""
"2021010978","","1","0","0","0","0","0","0","0","0","5","0","","67","1","2021","7","40.052187","-74.987648","","6","0","0","0","0","0","0","0","0","","0","0","0","12","","0","N","0","","40 03:07.873","1","0","74 59:15.534","0","0","0","0","67301","0","0","0","N","0","0","0","3","68K01","0","","1.0","1330.0","1","N","N","N","0","","0","0","1","","0","Y","1217","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2021001493","","2","0","0","0","0","0","0","0","0","1","0","","67","1","2021","7","39.978078","-75.202086","","6","0","0","0","0","0","0","0","0","","0","0","0","01","","0","N","0","","39 58:41.082","","0","75 12:07.510","0","0","0","0","67301","0","0","0","N","0","0","0","1","68K01","0","","1.0","","9","N","N","N","0","","0","0","0","","0","","0111","2","0","0","0","0","0","0","2","0","2","","07","","N","","","","","","","","","",""
"2021033407","","3","0","0","0","0","0","0","0","0","4","0","","67","4","2021","1","39.9901","-75.111342","","6","0","0","0","0","0","0","0","0","","0","0","0","13","","1","N","0","","39 59:24.360","","0","75 06:40.830","3","0","0","0","67301","0","0","0","N","0","0","0","1","67301","0","","1.0","","9","N","N","N","0","","1","0","0","","0","","1344","3","1","0","0","0","0","0","2","0","3","","07","","N","","","","","","","","","",""
"2021008765","","2","0","0","0","0","0","0","0","0","5","0","","67","1","2021","2","39.998137","-75.138861","","6","0","0","0","0","0","1","0","0","","0","0","0","16","","2","","1","","39 59:53.293","","0","75 08:19.899","3","0","0","0","67301","1","0","0","N","1","0","0","4","67301","0","","1.0","","1","N","N","Y","0","","2","0","0","","2","","1619","4","2","0","0","0","0","0","2","1","3","","03","","N","","","","","","","","","",""
"2021034076","","1","0","0","0","0","0","0","0","0","5","0","","67","4","2021","4","39.975581","-75.115461","","6","0","0","0","0","0","0","0","0","","0","0","0","20","","0","N","0","","39 58:32.091","1","0","75 06:55.660","0","0","0","0","67301","0","0","0","N","0","0","0","3","68K01","0","","4.0","2132.0","1","N","N","N","0","","0","0","1","","0","N","2009","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2021014700","","2","0","0","0","0","0","0","0","0","4","0","","67","2","2021","7","40.076716","-75.176178","","6","0","0","0","0","0","0","0","0","","0","0","0","17","","0","","1","","40 04:36.177","","0","75 10:34.240","0","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","2","N","N","N","0","","0","0","0","","3","","1700","2","0","0","0","0","0","0","2","0","2","","04","","N","","","","","","","","","",""
"2021015478","","1","0","0","0","0","0","0","0","0","6","0","","67","2","2021","6","39.985375","-75.212739","","6","0","0","0","0","0","0","0","0","","0","0","0","06","","0","N","0","","39 59:07.350","","0","75 12:45.860","0","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1.0","","1","N","N","N","1","","0","0","1","","0","","0606","3","0","0","0","0","0","0","2","0","3","","03","","N","","","","","","","","","",""
"2021033339","","1","0","0","0","0","0","0","0","0","1","0","","67","4","2021","4","39.978704","-75.20308","","6","0","0","0","0","0","1","0","0","","0","0","0","19","","2","N","0","","39 58:43.335","","0","75 12:11.088","8","0","0","0","67301","0","0","0","N","0","0","0","4","68K01","0","","1.0","","1","N","N","N","0","","0","0","3","","0","","1948","4","2","0","0","0","2","0","2","0","4","","","","N","","","","","","","","","",""
