"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2022004538","0732","2","0","0","0","0","0","0","0","0","4","0","","67","1","2022","3","40.024314","-75.161267","0725","6","0","0","0","0","0","0","0","0","","0","0","0","","","2","","1","","40 01:27.530","","0","75 09:40.561","3","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","1","N","N","N","0","","2","0","0","","3","","","2","2","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2022004236","1800","2","0","0","0","0","0","0","0","0","1","0","","67","1","2022","3","40.018956","-75.056748","1758","6","0","0","0","1","0","0","0","0","","0","0","0","","","1","N","0","","40 01:08.241","","0","75 03:24.292","3","0","0","0","67301","0","0","0","N","0","0","0","2","67301","0","","1.0","","1","N","N","N","0","","1","0","0","","0","","","2","1","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2022001476","0908","1","0","0","0","0","0","0","0","0","7","0","","67","1","2022","1","39.988011","-75.207252","0908","6","0","0","0","0","0","1","0","0","","0","0","0","","","0","N","0","","39 59:16.839","4","0","75 12:26.106","0","0","0","0","67301","0","0","0","N","0","0","0","1","68K01","0","","3.0","940.0","9","N","N","N","0","","0","0","0","","0","N","","1","0","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2022011378","0200","1","0","0","0","0","0","0","0","0","7","0","","67","1","2022","2","40.04409","-75.002794","0140","6","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","40 02:38.723","","0","75 00:10.057","0","0","0","0","67301","0","0","0","N","0","0","0","1","68K01","0","","3.0","","9","N","N","N","0","","0","0","0","","0","","","1","0","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2022002986","1743","0","0","0","0","0","0","0","0","0","1","0","","67","1","2022","7","40.017212","-75.05008","1725","6","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","40 01:01.962","","0","75 03:00.287","0","0","0","0","67301","0","0","0","N","0","0","0","2","68K01","0","","1.0","","1","N","N","N","1","","0","0","1","","0","","","2","0","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2022005499","0941","2","0","0","0","0","0","0","0","0","5","0","","67","1","2022","1","39.956972","-75.15506","0941","6","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","39 57:25.100","4","0","75 09:18.217","0","0","0","0","67301","0","0","0","N","0","0","0","2","68K01","0","","1.0","1008.0","1","N","N","N","0","","0","0","0","","0","N","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2022015832","0653","2","0","0","0","0","0","0","0","0","4","0","","67","2","2022","5","40.009274","-75.066333","0625","6","0","0","0","0","0","1","0","0","","0","0","0","","","1","N","0","","40 00:33.388","","0","75 03:58.800","8","0","0","0","67301","0","0","0","N","0","0","0","3","68K01","0","","3.0","","9","N","N","N","0","","0","0","0","","8","","","3","1","0","0","0","1","1","2","0","3","","07","","N","","","","","","","","","",""
"2022017572","1850","1","0","0","0","0","0","0","0","0","1","0","","67","2","2022","6","39.989776","-75.087116","1839","6","0","0","0","0","1","0","0","0","","0","0","0","","","0","N","0","","39 59:23.194","","0","75 05:13.619","0","0","0","0","67301","0","0","0","N","0","0","0","2","68K01","0","","1.0","","1","N","N","N","0","","0","0","1","","0","","","2","0","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2022009961","1123","2","0","0","0","0","0","0","0","0","1","0","","67","1","2022","7","39.931437","-75.145578","1114","6","0","0","0","0","0","1","0","0","","0","0","0","","","0","N","0","","39 55:53.172","","0","75 08:44.081","0","0","0","0","67301","0","0","0","N","0","0","0","2","68K01","0","","1.0","","1","N","N","N","0","","0","0","0","","0","","","2","0","0","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
"2022017578","1557","0","0","0","0","0","0","0","0","0","7","0","","67","2","2022","7","39.96382","-75.184425","1546","6","0","0","0","0","0","1","0","0","","0","0","0","","","0","N","0","","39 57:49.753","3","0","75 11:03.931","0","0","0","0","67301","0","0","0","N","0","0","0","1","68K01","0","","4.0","1650.0","1","N","N","N","0","","0","0","1","","0","Y","","1","0","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
