"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2021016848","1850","1","0","0","0","0","0","0","0","0","4","0","","67","12","2020","3","39.968087","-75.206264","","6","0","0","0","0","0","2","0","0","","0","0","0","","","0","","2","","39 58:05.113","","0","75 12:22.550","0","0","0","0","67301","0","0","0","N","0","0","0","2","00000","0","","1.0","","1","","","N","1","","0","0","0","","3","","","3","0","0","0","0","0","0","2","0","3","","","","N","","","","","","","","","",""
"2020112939","9999","0","0","0","0","0","0","0","0","0","4","0","","67","1","2020","3","39.993927","-75.197424","9999","6","0","0","0","0","0","1","0","0","","0","0","0","","","1","N","3","","39 59:38.137","","0","75 11:50.726","8","0","0","0","67301","0","0","0","N","0","0","0","2","00000","0","","1.0","","1","","","N","0","","0","0","1","","0","","","2","1","0","0","0","1","0","2","1","2","","","","N","","","","","","","","","",""
"2021005952","0447","5","0","0","0","0","0","0","0","0","1","0","","67","9","2020","4","40.001258","-75.137775","0442","6","0","0","0","0","0","0","0","0","","0","0","0","","","1","N","0","","40 00:04.530","4","0","75 08:15.990","4","0","0","0","67301","0","0","0","N","0","0","0","2","67301","1","","1.0","634.0","9","N","N","N","0","","0","0","2","","0","Y","","7","1","1","0","0","0","0","2","0","7","","07","","N","","","","","","","","","",""
"2021005425","2050","0","0","0","0","0","0","0","0","0","7","0","","67","12","2020","7","40.003521","-75.077669","2025","6","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","3","","40 00:12.674","","2","75 04:39.610","9","0","0","0","67301","0","0","0","N","0","0","0","1","68K01","0","","4.0","","1","N","N","N","1","","0","0","0","","0","","","1","0","0","0","0","0","1","2","0","1","","","","N","","","","","","","","","",""
"2021000088","1807","2","0","0","0","0","0","0","0","0","1","0","","67","12","2020","5","40.027194","-75.151242","1748","6","0","0","0","0","0","0","0","0","","0","0","0","","","2","","1","","40 01:37.898","","0","75 09:04.471","8","0","0","0","67301","0","0","0","N","0","0","0","3","67301","0","","1.0","","9","N","N","N","0","","0","0","0","","2","","","2","2","0","0","0","2","0","2","0","2","","03","","N","","","","","","","","","",""
"2021018419","1255","2","0","0","0","0","0","0","0","0","4","0","","67","11","2020","7","40.075262","-75.192963","","6","0","0","0","1","0","0","0","1","","0","0","0","","","4","N","0","","40 04:30.944","","0","75 11:34.666","8","0","0","0","67301","0","0","0","N","0","0","0","5","00000","0","","1.0","","1","","","N","0","","0","0","0","","0","","","2","4","0","0","0","4","0","2","0","2","","","","N","","","","","","","","","",""
"2021016763","1515","0","0","0","0","0","0","0","0","0","1","0","","67","9","2020","2","40.019485","-75.145138","","6","0","0","0","0","0","0","0","0","","0","0","0","","","4","N","0","","40 01:10.146","","0","75 08:42.495","8","0","0","0","67301","0","0","0","N","0","0","0","5","00000","0","","1.0","","1","","","N","0","","0","0","1","","0","","","2","4","0","0","0","4","0","2","0","2","","","","N","","","","","","","","","",""
"2021014564","1900","1","0","0","0","0","0","0","0","0","1","0","","67","9","2020","5","","","","6","0","0","0","0","0","0","0","0","","0","0","0","","","0","N","0","","","","0","","0","0","0","1","67301","0","0","0","N","0","0","0","2","00000","0","","1.0","","1","","","N","0","","0","0","0","","0","","","2","0","0","0","0","0","0","1","0","2","","","","N","","","","","","","","","",""
"2020070607","0348","2","0","0","0","0","0","0","0","0","1","0","","67","8","2020","1","40.001139","-75.124556","0345","6","0","0","0","0","0","0","0","0","","0","0","0","","","1","N","0","","40 00:04.100","","0","75 07:28.400","4","0","0","0","67301","0","0","0","N","0","0","0","1","67301","1","","6.0","","1","N","N","N","0","","0","0","2","","0","","","4","1","0","0","0","0","0","2","0","4","","03","","N","","","","","","","","","",""
"2020064532","0900","1","0","0","0","0","0","0","0","0","1","0","","67","8","2020","3","39.993309","-75.186024","0855","6","0","0","0","0","0","0","1","0","","0","0","0","","","1","","1","","39 59:35.912","","0","75 11:09.686","4","0","0","0","67301","0","0","0","N","0","0","0","3","67301","1","","1.0","","1","N","N","N","0","","0","0","1","","2","","","2","1","1","0","0","0","0","2","0","2","","03","","N","","","","","","","","","",""
